[17/12/2025, 08:00:32] 4.196.79.66 ~~ GET wolimp.com.br/cong.php
[17/12/2025, 08:00:33] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/images/wp-login.php
[17/12/2025, 08:00:33] 4.196.79.66 ~~ GET wolimp.com.br/w.php
[17/12/2025, 08:00:34] 4.196.79.66 ~~ GET wolimp.com.br/404.php
[17/12/2025, 08:00:35] 4.196.79.66 ~~ GET wolimp.com.br/222.php
[17/12/2025, 08:00:36] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/index.php
[17/12/2025, 08:00:36] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/maint/maint.php
[17/12/2025, 08:00:37] 4.196.79.66 ~~ GET wolimp.com.br/classwithtostring.php
[17/12/2025, 08:00:38] 4.196.79.66 ~~ GET wolimp.com.br/abcd.php
[17/12/2025, 08:00:38] 4.196.79.66 ~~ GET wolimp.com.br/autoload_classmap.php?p=
[17/12/2025, 08:00:39] 4.196.79.66 ~~ GET wolimp.com.br/inputs.php
[17/12/2025, 08:00:40] 4.196.79.66 ~~ GET wolimp.com.br/about3.php
[17/12/2025, 08:00:41] 4.196.79.66 ~~ GET wolimp.com.br/themes/twentytwentytwo/index.php
[17/12/2025, 08:00:41] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/js/wp-conflg.php?p=
[17/12/2025, 08:00:42] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/wp-conflg.php?p=
[17/12/2025, 08:00:43] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/css/wp-conflg.php?p=
[17/12/2025, 08:00:43] 4.196.79.66 ~~ GET wolimp.com.br/manager.php?p=
[17/12/2025, 08:00:44] 4.196.79.66 ~~ GET wolimp.com.br/item.php
[17/12/2025, 08:00:45] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/plugins/index.php
[17/12/2025, 08:00:45] 4.196.79.66 ~~ GET wolimp.com.br/sx.php
[17/12/2025, 08:00:46] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/maint/admin.php
[17/12/2025, 08:00:47] 4.196.79.66 ~~ GET wolimp.com.br/alfa.php
[17/12/2025, 08:00:48] 4.196.79.66 ~~ GET wolimp.com.br/wp-trackback.php
[17/12/2025, 08:00:48] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/network/plugins.php
[17/12/2025, 08:00:49] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/about.php
[17/12/2025, 08:00:49] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/ID3/about.php
[17/12/2025, 08:00:50] 4.196.79.66 ~~ GET wolimp.com.br/css/index.php
[17/12/2025, 08:00:51] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/SimplePie/wp-login.php
[17/12/2025, 08:00:52] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/themes/about.php
[17/12/2025, 08:00:52] 4.196.79.66 ~~ GET wolimp.com.br/xc.php
[17/12/2025, 08:00:53] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/maint/index.php
[17/12/2025, 08:00:54] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/customize/about.php
[17/12/2025, 08:00:54] 4.196.79.66 ~~ GET wolimp.com.br/uploads/autoload_classmap.php
[17/12/2025, 08:00:55] 4.196.79.66 ~~ GET wolimp.com.br/wp-includes/style-engine/about.php
[17/12/2025, 08:00:56] 4.196.79.66 ~~ GET wolimp.com.br/ww1.php
[17/12/2025, 08:00:56] 4.196.79.66 ~~ GET wolimp.com.br/about/function.php
[17/12/2025, 08:00:57] 4.196.79.66 ~~ GET wolimp.com.br/admin/function.php
